accession,mouse_gene
D3YY36,1300017J02Rik
A0A0R4IZY4,1700037C18Rik
Q9D875,2010109A12Rik
E9Q0Q3,2610021A01Rik
A0A0R4J054,4921501E09Rik
F8VQ07,5830473C10Rik
Q3UW27,9230019H11Rik
E9PUJ3,9330182L06Rik
Q8BSD8,9430015G10Rik
E9PVG8,9530053A07Rik
Q6GQT1,A2m
D3Z1Q3,Aamdc
Q3TUE8,Abat
P41233,Abca1
Q9JI39,Abcb10
A0A087WS50,Abhd14a
A0A087WPF8,Abhd14b
P00520,Abl1
A0A0R4J083,Acadl
P45952,Acadm
Q07417,Acads
Q61282,Acan
Q8QZT1,Acat1
P09470,Ace
P21836,Ache
Q52KR6,Acin1
Q91V92,Acly
P28271,Aco1
Q99KI0,Aco2
Q561M1,Acp1
B1ARG5,Acsl6
P68134,Acta1
P60710,Actb
Q8BFZ3,Actbl2
P63260,Actg1
P63268,Actg2
P61164,Actr1a
P56376,Acyp1
P56375,Acyp2
Q60718,Adam2
D3YUQ0,Adam22
Q9R1V7,Adam23
P97857,Adamts1
Q8C9W3,Adamts2
G3X9D2,Adamts3
Q8BNJ2,Adamts4
E9PUN6,Adamts9
Q80T21,Adamtsl4
A0A1B0GT56,Adcy7
Q6F3F9,Adgrg6
P28474,Adh5
Q60994,Adipoq
P55264,Adk
P54923,Adprh
A0A0N4SVK8,Adprhl1
E9Q242,Adsl
P28650,Adssl1
Q640N1,Aebp1
F8WJA7,Aff3
O89020,Afm
Q64191,Aga
A0A0G2JGI9,Agl
Z4YK85,Agrn
Q3UTR7,Agt
P29754,Agtr1a
P50247,Ahcy
P29699,Ahsg
A2AS37,AI182371
Q9R0Y5,Ak1
Q920P5,Ak5
Q80VW7,Akna
Q9JII6,Akr1a1
P45376,Akr1b1
G5E895,Akr1b10
Q8VCX1,Akr1d1
P10518,Alad
P07724,Alb
E9Q4G8,Alcam
P24549,Aldh1a1
Q62148,Aldh1a2
Q8R0Y6,Aldh1l1
P47738,Aldh2
Q8CHT0,Aldh4a1
Q9DBF1,Aldh7a1
Q9JLJ2,Aldh9a1
P05064,Aldoa
Q9CPQ9,Aldoart1
P05063,Aldoc
E9QNX4,Alpk1
I7HIQ9,Ambp
A0A067XG49,Amot
P00687,Amy1
O35608,Angpt2
S4R2T7,Ank2
E9Q1M6,Ankhd1
Q6ZPS6,Ankib1
G5E893,Ankrd12
A0A0G2JDZ9,Ankrd17
F6PZI9,Ankrd24
P97449,Anpep
P10107,Anxa1
B0V2N8,Anxa2
O35639,Anxa3
D3Z0S1,Anxa4
P48036,Anxa5
F8WIT2,Anxa6
O70423,Aoc3
G3X982,Aox3
P35585,Ap1m1
H3BKM0,Ap2b1
A2ANC4,Ap5s1
G3XA09,Apaf1
E9QLQ9,Apc
G5E832,Apc2
A0A0R4J107,Apeh
Q03157,Aplp1
Q06335,Aplp2
Q00623,Apoa1
P06728,Apoa4
Q9WV35,Apobec2
P51910,Apod
P08226,Apoe
Q01339,Apoh
P12023,App
Q02013,Aqp1
P97393,Arhgap5
Q99PT1,Arhgdia
Q61599,Arhgdib
H3BJU7,Arhgef2
P59999,Arpc4
Q3UA72,Arpc5
P50428,Arsa
A0A0R4J138,Arsb
Q3TYD4,Arsg
Q9JHE3,Asah2
D6RI55,Ash2l
D3Z0S5,Asic5
A0JNU3,Aspg
Q8C0M9,Asrgl1
P16460,Ass1
Q9CWJ9,Atic
Q8VDN2,Atp1a1
D3YYN7,Atp1a2
Q6PIC6,Atp1a3
P14094,Atp1b1
P97370,Atp1b3
Q03265,Atp5a1
P56480,Atp5b
Q3TKX1,Atp6ap1
Q9CYN9,Atp6ap2
P50516,Atp6v1a
P62814,Atp6v1b2
A0A0A6YWP6,Atp6v1h
Q6PE80,Axl
Q64726,Azgp1
P01887,B2m
Q09200,B4galnt1
Q8BWP8,B4gat1
Q91XV3,Basp1
A2AUY4,Baz2b
D3Z6T1,Bbs9
Q9R069,Bcam
Q61361,Bcan
A0A1B0GQY4,Bcat2
A0A0R4J0P0,Best2
S4R1L5,Birc6
E9PY26,Blmh
Q9CY64,Blvra
Q923D2,Blvrb
Q9Z0S1,Bpnt1
J3QP71,Bsg
O88737,Bsn
Q8CIF4,Btd
Q9CQC6,Bzw1
P98086,C1qa
P14106,C1qb
Q02105,C1qc
Q9QXP7,C1qtnf1
Q8R066,C1qtnf4
Q8CG16,C1ra
Q8CG14,C1sa
P21180,C2
Q52KB6,C2cd3
E9Q861,C2cd4a
P01027,C3
P01029,C4b
P06684,C5
Q91X70,C6
D3YXF5,C7
A2A998,C8a
Q8BH35,C8b
Q8VCG4,C8g
P06683,C9
P13634,Ca1
P00920,Ca2
P16015,Ca3
Z4YK18,Cachd1
A0A087WQT9,Cacna1c
E9QK20,Cacna1e
F7CNJ1,Cacna1s
E9Q1X8,Cacna2d1
Q6PHS9,Cacna2d2
Q9Z1L5,Cacna2d3
E0CY16,Cadm1
Q99N28,Cadm3
Q8R464,Cadm4
P62204,Calm1
P14211,Calr
Q9DCA7,Caly
Q8BW96,Camk1d
Q5SVI9,Camk2b
Q6ZQ38,Cand1
Q8VCF1,Cant1
Q99LB4,Capg
A0A1D5RLJ4,Capn15
O08688,Capn5
A2AMW0,Capzb
P24270,Cat
